estimation_id,region_id,simd_width,global_size,local_size,thread_count,time,speed_up,bounded_by
437,327,8,"(200, 300)","(16, 2)",7500,0.9031054330397726,10.358035206270358,GTI_BW
438,327,8,"(200, 300)","(16, 4)",7500,0.9031054330397726,10.358035206270358,GTI_BW
439,327,8,"(200, 300)","(16, 8)",7500,0.9031054330397726,10.358035206270358,GTI_BW
440,327,8,"(200, 300)","(16, 16)",7500,0.9031054330397726,10.358035206270358,GTI_BW
441,327,8,"(200, 300)","(32, 1)",7500,0.9031054330397726,10.358035206270358,GTI_BW
442,327,8,"(200, 300)","(32, 2)",7500,0.9031054330397726,10.358035206270358,GTI_BW
443,327,8,"(200, 300)","(32, 4)",7500,0.9031054330397726,10.358035206270358,GTI_BW
444,327,8,"(200, 300)","(32, 8)",7500,0.9031054330397726,10.358035206270358,GTI_BW
445,327,8,"(200, 300)","(64, 1)",7500,0.9031054330397726,10.358035206270358,GTI_BW
446,327,8,"(200, 300)","(64, 2)",7500,0.9031054330397726,10.358035206270358,GTI_BW
447,327,8,"(200, 300)","(64, 4)",7500,0.9031054330397726,10.358035206270358,GTI_BW
448,327,8,"(200, 300)","(128, 1)",7500,0.9031054330397726,10.358035206270358,GTI_BW
449,327,8,"(200, 300)","(128, 2)",7500,0.9031054330397726,10.358035206270358,GTI_BW
450,327,8,"(200, 300)","(256, 1)",7500,0.9031054330397726,10.358035206270358,GTI_BW
451,327,16,"(200,)","(8,)",25,6.760244379090909,1.3837366440971688,"Trip_Count, Latencies"
452,327,16,"(200, 300)","(1, 8)",7600,1.2937667406060607,7.230358902268555,Compute
453,327,16,"(200,)","(16,)",13,6.763317413636363,1.3831079185400112,"Trip_Count, Latencies"
454,327,16,"(200, 300)","(1, 16)",3800,0.7967311603124999,11.740971530134393,GTI_BW
455,327,16,"(200,)","(32,)",13,6.763317413636363,1.3831079185400112,"Trip_Count, Latencies"
456,327,16,"(200, 300)","(1, 32)",3800,0.7967311603124999,11.740971530134393,GTI_BW
457,327,16,"(200,)","(64,)",13,6.763317413636363,1.3831079185400112,"Trip_Count, Latencies"
458,327,16,"(200, 300)","(1, 64)",3800,0.7967311603124999,11.740971530134393,GTI_BW
459,327,16,"(200,)","(128,)",13,6.763317413636363,1.3831079185400112,"Trip_Count, Latencies"
460,327,16,"(200, 300)","(1, 128)",3800,0.7967311603124999,11.740971530134393,GTI_BW
461,327,16,"(200,)","(256,)",13,9.300712231818181,1.0057722072507695,Trip_Count
462,327,16,"(200, 300)","(1, 256)",3800,0.7967311603124999,11.740971530134393,GTI_BW
463,327,16,"(200, 300)","(2, 4)",7500,1.296839775151515,7.21322560399344,Compute
464,327,16,"(200, 300)","(2, 8)",3800,0.7967311603124999,11.740971530134393,GTI_BW
465,327,16,"(200, 300)","(2, 16)",3800,0.7967311603124999,11.740971530134393,GTI_BW
466,327,16,"(200, 300)","(2, 32)",3800,0.7967311603124999,11.740971530134393,GTI_BW
467,327,16,"(200, 300)","(2, 64)",3800,0.7967311603124999,11.740971530134393,GTI_BW
468,327,16,"(200, 300)","(2, 128)",3800,0.7967311603124999,11.740971530134393,GTI_BW
469,327,16,"(200, 300)","(4, 2)",7500,1.296839775151515,7.21322560399344,Compute
470,327,16,"(200, 300)","(4, 4)",3750,0.7967311603124999,11.740971530134393,GTI_BW
471,327,16,"(200, 300)","(4, 8)",3750,0.7967311603124999,11.740971530134393,GTI_BW
472,327,16,"(200, 300)","(4, 16)",3750,0.7967311603124999,11.740971530134393,GTI_BW
473,327,16,"(200, 300)","(4, 32)",3750,0.7967311603124999,11.740971530134393,GTI_BW
