region_id,estimation_id,level_name,traffic,read_traffic,write_traffic,bandwidth,read_bandwidth,write_bandwidth,bandwidth_utilization,read_bandwidth_utilization,write_bandwidth_utilization,traffic_defined_time,traffic_defined_read_time,traffic_defined_write_time,bytes_ck,read_bytes_ck,write_bytes_ck
605,0,l3,4322816.0,4322688.0,128.0,59437065148.279045,59435305197.27975,1759950.9992976147,0.2110691233958773,0.21106287356988546,6.2498259918239155e-06,1.5350909090909092e-05,1.5350454545454546e-05,4.5454545454545455e-10,54.03369558934458,54.03209563389067,0.0015999554539069224
605,0,gti,4320598.0,4320598.0,0.0,59406568497.36934,59406568497.36934,0.0,0.4219216512597254,0.8438433025194508,0.0,6.137213068181819e-05,6.137213068181819e-05,0.0,54.005971361244846,54.005971361244846,0.0
605,0,llc,4320598.0,4320598.0,0.0,59406568497.36934,59406568497.36934,0.0,0.4219216512597254,0.8438433025194508,0.0,6.137213068181819e-05,6.137213068181819e-05,0.0,54.005971361244846,54.005971361244846,0.0
605,0,dram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
302,0,l3,4322816.0,4322688.0,128.0,32112530442.191887,32111579579.629936,950862.5619504881,0.11403597458164733,0.11403259793902676,3.376642620562813e-06,1.5350909090909092e-05,1.5350454545454546e-05,4.5454545454545455e-10,29.193209492901715,29.19234507239085,0.0008644205108640802
302,0,gti,4320598.0,4320598.0,0.0,32096053776.860588,32096053776.860588,0.0,0.22795492739247578,0.45590985478495155,0.0,6.137213068181819e-05,6.137213068181819e-05,0.0,29.1782307062369,29.1782307062369,0.0
302,0,llc,4320598.0,4320598.0,0.0,32096053776.860588,32096053776.860588,0.0,0.22795492739247578,0.45590985478495155,0.0,6.137213068181819e-05,6.137213068181819e-05,0.0,29.1782307062369,29.1782307062369,0.0
302,0,dram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0,l3,180558567168.0,179784486656.0,774080512.0,40706104909.44445,40531591990.87155,174512918.57289886,0.1445529293659249,0.14393321019485636,0.000619719171068533,0.6411880936363636,0.6384392281818182,0.0027488654545454547,37.005549917676774,36.84690180988323,0.15864810779354444
5,0,gti,88672047106.0,87880385880.0,791661226.0,19990708326.088993,19812231915.782127,178476410.3068639,0.14197946254324567,0.28142374880372345,0.0025351762827679532,1.2483009357954546,1.2483009357954546,0.011245187869318182,18.17337120553545,18.011119923438297,0.162251282097149
5,0,llc,88672047106.0,87880385880.0,791661226.0,19990708326.088993,19812231915.782127,178476410.3068639,0.14197946254324567,0.28142374880372345,0.0025351762827679532,1.2483009357954546,1.2483009357954546,0.011245187869318182,18.17337120553545,18.011119923438297,0.162251282097149
5,0,dram,22069687638.0,22004791297.0,64896340.999999985,4975510353.242953,4960879769.347551,14630583.895402439,0.10365646569256154,0.10335166186140732,0.0003048038311542175,0.459785159125,0.45843315202083335,0.0013520071041666663,4.523191230220867,4.509890699406865,0.013300530814002218
326,0,l3,43318010560.0,43306490176.0,11520384.0,9765847779.923508,9763250561.929058,2597217.9944513664,0.034679857173023826,0.03467063409775944,9.223075264386955e-06,0.1538281625,0.15378725204545454,4.0910454545454545e-05,8.8780434362941,8.875682329026416,0.0023611072676830605
326,0,gti,43709498026.99999,43290510677.99999,418987349.0,9854106842.633099,9759648057.034435,94458785.59866361,0.06998655428006462,0.13863136444651186,0.0013417441136173809,0.6149220266761363,0.6149220266761363,0.00595152484375,8.958278947848273,8.872407324576761,0.08587162327151238
326,0,llc,43709498026.99999,43290510677.99999,418987349.0,9854106842.633099,9759648057.034435,94458785.59866361,0.06998655428006462,0.13863136444651186,0.0013417441136173809,0.6149220266761363,0.6149220266761363,0.00595152484375,8.958278947848273,8.872407324576761,0.08587162327151238
326,0,dram,22027638101.0,21962741760.0,64896340.999999985,4966030477.037894,4951399893.142491,14630583.895402439,0.10345896827162279,0.10315416444046857,0.0003048038311542175,0.45890912710416665,0.45755712,0.0013520071041666663,4.514573160943541,4.501272630129538,0.013300530814002218
327,0,l3,43318010432.0,43306490048.0,11520384.0,9765847751.066492,9763250533.07204,2597217.9944513664,0.034679857070548624,0.034670633995284236,9.223075264386955e-06,0.15382816204545455,0.15378725159090909,4.0910454545454545e-05,8.878043410060448,8.875682302792764,0.0023611072676830605
327,0,gti,43709498026.99999,43290510677.99999,418987349.0,9854106842.633099,9759648057.034435,94458785.59866361,0.06998655428006462,0.13863136444651186,0.0013417441136173809,0.6149220266761363,0.6149220266761363,0.00595152484375,8.958278947848273,8.872407324576761,0.08587162327151238
327,0,llc,43709498026.99999,43290510677.99999,418987349.0,9854106842.633099,9759648057.034435,94458785.59866361,0.06998655428006462,0.13863136444651186,0.0013417441136173809,0.6149220266761363,0.6149220266761363,0.00595152484375,8.958278947848273,8.872407324576761,0.08587162327151238
327,0,dram,22027638101.0,21962741760.0,64896340.999999985,4966030477.037894,4951399893.142491,14630583.895402439,0.10345896827162279,0.10315416444046857,0.0003048038311542175,0.45890912710416665,0.45755712,0.0013520071041666663,4.514573160943541,4.501272630129538,0.013300530814002218
260,0,l3,43318010432.0,43306490048.0,11520384.0,9765847751.066492,9763250533.07204,2597217.9944513664,0.034679857070548624,0.034670633995284236,9.223075264386955e-06,0.15382816204545455,0.15378725159090909,4.0910454545454545e-05,8.878043410060448,8.875682302792764,0.0023611072676830605
