region_id,estimation_id,instruction_name,count_per_iteration,count_total,impact
335,0,Mul,3329261.0738926106,,
335,0,Sub,1245994.400559944,,
335,0,FMA,0,,
335,0,ABS,0,,
335,0,DIV,0,,
335,0,MIN,0,,
335,0,MAX,0,,
335,0,SQRT,0,,
335,0,SAD,0,,
335,0,SCALE,0,,
335,0,SIGN,0,,
335,0,RECCP,0,,
335,0,Mov,0,,
32,0,Add,1067995.200479952,,
32,0,Send,5339976.00239976,,
32,0,Mul,533997.600239976,,
32,0,Sub,533997.600239976,,
32,0,FMA,0,,
32,0,ABS,0,,
32,0,DIV,0,,
32,0,MIN,0,,
32,0,MAX,0,,
32,0,SQRT,0,,
32,0,SAD,0,,
32,0,SCALE,0,,
32,0,SIGN,0,,
32,0,RECCP,0,,
32,0,Mov,0,,
